# wave_Ang	data_1	data_2	data_mean	data_err_mean	model
10829.027700000001	0.045833911475	0.036452794211	-0.006339032842	0.209804955372	0.000193558558
10829.085499999999	0.044739926826	0.079035167944	-0.008565300696	0.209826803783	0.000210464575
10829.143400000001	-0.033048233687	-0.096303164981	-0.168555670491	0.210010233094	0.000227043471
10829.201200000000	-0.039554500303	0.004387086131	-0.070905015076	0.210003399084	0.000244894841
10829.259000000000	0.016534301886	0.078727229965	-0.013467100496	0.210058883742	0.000267033328
10829.316800000001	-0.003215104985	0.072298421936	-0.024191369498	0.210226748916	0.000294479121
10829.374599999999	-0.101159962774	0.029054737248	-0.058682056888	0.210397418468	0.000325104279
10829.432400000000	-0.265441246940	-0.150472218294	-0.310832910100	0.210806401951	0.000356197207
10829.490200000000	-0.200922820898	0.054117945130	-0.233068506802	0.210937116893	0.000389375288
10829.547900000000	0.050819794619	-0.063773990705	-0.137184237687	0.211080155700	0.000431259210
10829.605700000000	0.314200063135	-0.053549340031	0.134912836265	0.211106879029	0.000487772332
10829.663500000001	0.212396196858	0.077196845151	0.120221925023	0.211215925403	0.000559121175
10829.721299999999	0.114338474970	0.236156264575	0.174570809145	0.211201499969	0.000641865580
10829.779000000000	0.258469351124	-0.060867303806	0.033288687345	0.211712796985	0.000732020232
10829.836799999999	0.445588266217	0.012783799935	0.093532542444	0.212343653531	0.000825805174
10829.894500000000	0.366485307315	-0.142783458380	-0.004490213349	0.212952824551	0.000915315075
10829.952200000000	0.136883859498	-0.113532143824	-0.007375048771	0.213422419634	0.000990860047
10830.010000000000	0.060909075806	-0.116866797734	0.003212570601	0.214190113081	0.001049166425
10830.067700000000	0.163000982004	0.130423986371	0.147797674591	0.214876087096	0.001097825234
10830.125400000001	0.159579111159	-0.074884948439	-0.038318540649	0.215885998898	0.001149884483
10830.183100000000	0.068151859022	-0.118919029896	-0.109976058145	0.217001352725	0.001219944640
10830.240900000001	0.091243903554	-0.109357109172	-0.074488370668	0.218207962174	0.001317727596
10830.298600000000	0.181964090935	-0.297285542828	-0.099085749711	0.219492910877	0.001436783474
