# Phase	Phase_err	flux	flux_err
-0.041946389761	0.001445303067	1.002603781859	0.001904877620
-0.038316831683	0.002184255011	1.000173015682	0.001377103903
-0.033651291958	0.002148031876	1.000191820834	0.001459886313
-0.029250181116	0.002253078966	1.002054731833	0.001496802899
-0.024747645496	0.002249456653	0.998510825647	0.001248868596
-0.020248732190	0.002249456653	1.000547691521	0.001218565160
-0.015749818884	0.002249456653	0.998609306424	0.001153843957
-0.011250905578	0.002249456653	0.998551641918	0.001008496180
-0.006751992272	0.002249456653	0.989290599326	0.001044593025
-0.002253078966	0.002249456653	0.985021105119	0.001235392594
0.002249456653	0.002253078966	0.984200253749	0.001266793274
0.006751992272	0.002249456653	0.986738899193	0.001250079638
0.011250905578	0.002249456653	0.994147106795	0.001366229547
0.015749818884	0.002249456653	0.998549288799	0.002265132072
0.020248732190	0.002249456653	0.997820496928	0.001430830338
0.024747645496	0.002249456653	0.999967519264	0.001588834414
0.029250181116	0.002253078966	1.001367597114	0.001774914733
0.033738227481	0.002234967399	0.997509536048	0.002024885652
